"key","date","home","away","label","t_start","t_end","clip_folder","has_proxy","has_trf","has_stab","has_brand","stage_next","proxy_path","transforms_path","stabilized_path","branded_files","src"
"005||||CORNER|t417.90|t431.60","","","","CORNER","t417.90","t431.60","","False","False","False","False","proxy","","","",,
"010||||CROSS|t1541.10|t1547.90","","","","CROSS","t1541.10","t1547.90","","False","False","False","False","proxy","","","",,
"006||||DEFENSE|t699.30|t711.50","","","","DEFENSE","t699.30","t711.50","","False","False","False","False","proxy","","","",,
"015||||DRIBBLING|t1972.50|t1980.70","","","","DRIBBLING","t1972.50","t1980.70","","False","False","False","False","proxy","","","",,
"007||||DRIBBLING|t982.00|t987.90","","","","DRIBBLING","t982.00","t987.90","","False","False","False","False","proxy","","","",,
"012||||GOAL|t1705.20|t1708.50","","","","GOAL","t1705.20","t1708.50","","False","False","False","False","proxy","","","",,
"013||||GOAL|t1767.50|t1772.60","","","","GOAL","t1767.50","t1772.60","","False","False","False","False","proxy","","","",,
"002||||GOAL|t180.80|t191.20","","","","GOAL","t180.80","t191.20","","False","False","False","False","proxy","","","",,
"014||||GOAL|t1904.20|t1925.20","","","","GOAL","t1904.20","t1925.20","","False","False","False","False","proxy","","","",,
"004||||GOAL|t266.50|t283.10","","","","GOAL","t266.50","t283.10","","False","False","False","False","proxy","","","",,
"020||||GOAL|t2816.60|t2831.80","","","","GOAL","t2816.60","t2831.80","","False","False","False","False","proxy","","","",,
"008||||SHOT|t1247.80|t1259.20","","","","SHOT","t1247.80","t1259.20","","False","False","False","False","proxy","","","",,
"009||||SHOT|t1420.40|t1438.20","","","","SHOT","t1420.40","t1438.20","","False","False","False","False","proxy","","","",,
"016||||SHOT|t2029.90|t2039.50","","","","SHOT","t2029.90","t2039.50","","False","False","False","False","proxy","","","",,
"017||||SHOT|t2284.90|t2298.20","","","","SHOT","t2284.90","t2298.20","","False","False","False","False","proxy","","","",,
"018||||SHOT|t2419.50|t2425.60","","","","SHOT","t2419.50","t2425.60","","False","False","False","False","proxy","","","",,
"019||||SHOT|t2633.00|t2638.10","","","","SHOT","t2633.00","t2638.10","","False","False","False","False","proxy","","","",,
"021||||SHOT|t2860.70|t2873.00","","","","SHOT","t2860.70","t2873.00","","False","False","False","False","proxy","","","",,
"022||||SHOT|t3028.10|t3059.70","","","","SHOT","t3028.10","t3059.70","022__SHOT__t3028.10-t3059.70.__DEBUG_FINAL_portrait_FINAL","True","True","True","False","brand","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_FINAL_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_FINAL_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_FINAL_portrait_FINAL\follow\stabilized.mp4",,
"011||||SHOTS|t1655.00|t1670.30","","","","SHOTS","t1655.00","t1670.30","","False","False","False","False","proxy","","","",,
"005|2025-09-13|TSC|NEOFC|CORNER|t417.90|t431.60","2025-09-13","TSC","NEOFC","CORNER","t417.90","t431.60","005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL","True","True","True","False","brand","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL\follow\stabilized.mp4",,
"010|2025-09-13|TSC|NEOFC|CROSS|t1541.10|t1547.90","2025-09-13","TSC","NEOFC","CROSS","t1541.10","t1547.90","","False","False","False","False","proxy","","","",,
"006|2025-09-13|TSC|NEOFC|DEFENSE|t699.30|t711.50","2025-09-13","TSC","NEOFC","DEFENSE","t699.30","t711.50","006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL","True","True","True","False","brand","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL\follow\stabilized.mp4",,
"015|2025-09-13|TSC|NEOFC|DRIBBLING|t1972.50|t1980.70","2025-09-13","TSC","NEOFC","DRIBBLING","t1972.50","t1980.70","","False","False","False","False","proxy","","","",,
"007|2025-09-13|TSC|NEOFC|DRIBBLING|t982.00|t987.90","2025-09-13","TSC","NEOFC","DRIBBLING","t982.00","t987.90","","False","False","False","False","proxy","","","",,
"012|2025-09-13|TSC|NEOFC|GOAL|t1705.20|t1708.50","2025-09-13","TSC","NEOFC","GOAL","t1705.20","t1708.50","","False","False","False","False","proxy","","","",,
"013|2025-09-13|TSC|NEOFC|GOAL|t1767.50|t1772.60","2025-09-13","TSC","NEOFC","GOAL","t1767.50","t1772.60","","False","False","False","False","proxy","","","",,
"002|2025-09-13|TSC|NEOFC|GOAL|t180.80|t191.20","2025-09-13","TSC","NEOFC","GOAL","t180.80","t191.20","002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL","True","True","True","False","brand","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL\follow\stabilized.mp4",,
"014|2025-09-13|TSC|NEOFC|GOAL|t1904.20|t1925.20","2025-09-13","TSC","NEOFC","GOAL","t1904.20","t1925.20","","False","False","False","False","proxy","","","",,
"004|2025-09-13|TSC|NEOFC|GOAL|t266.50|t283.10","2025-09-13","TSC","NEOFC","GOAL","t266.50","t283.10","004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL","True","True","True","False","brand","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL\follow\stabilized.mp4",,
"020|2025-09-13|TSC|NEOFC|GOAL|t2816.60|t2831.80","2025-09-13","TSC","NEOFC","GOAL","t2816.60","t2831.80","","False","False","False","False","proxy","","","",,
"008|2025-09-13|TSC|NEOFC|SHOT|t1247.80|t1259.20","2025-09-13","TSC","NEOFC","SHOT","t1247.80","t1259.20","","False","False","False","False","proxy","","","",,
"009|2025-09-13|TSC|NEOFC|SHOT|t1420.40|t1438.20","2025-09-13","TSC","NEOFC","SHOT","t1420.40","t1438.20","","False","False","False","False","proxy","","","",,
"001|2025-09-13|TSC|NEOFC|SHOT|t155.50|t166.40","2025-09-13","TSC","NEOFC","SHOT","t155.50","t166.40","001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40.__DEBUG_FINAL_portrait_FINAL","True","True","True","False","brand","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40.__DEBUG_FINAL_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40.__DEBUG_FINAL_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40.__DEBUG_FINAL_portrait_FINAL\follow\stabilized.mp4",,
"016|2025-09-13|TSC|NEOFC|SHOT|t2029.90|t2039.50","2025-09-13","TSC","NEOFC","SHOT","t2029.90","t2039.50","","False","False","False","False","proxy","","","",,
"017|2025-09-13|TSC|NEOFC|SHOT|t2284.90|t2298.20","2025-09-13","TSC","NEOFC","SHOT","t2284.90","t2298.20","","False","False","False","False","proxy","","","",,
"018|2025-09-13|TSC|NEOFC|SHOT|t2419.50|t2425.60","2025-09-13","TSC","NEOFC","SHOT","t2419.50","t2425.60","","False","False","False","False","proxy","","","",,
"019|2025-09-13|TSC|NEOFC|SHOT|t2633.00|t2638.10","2025-09-13","TSC","NEOFC","SHOT","t2633.00","t2638.10","","False","False","False","False","proxy","","","",,
"021|2025-09-13|TSC|NEOFC|SHOT|t2860.70|t2873.00","2025-09-13","TSC","NEOFC","SHOT","t2860.70","t2873.00","","False","False","False","False","proxy","","","",,
"023|2025-09-13|TSC|NEOFC|SHOT|t3098.90|t3108.80","2025-09-13","TSC","NEOFC","SHOT","t3098.90","t3108.80","","False","False","False","False","proxy","","","",,
"011|2025-09-13|TSC|NEOFC|SHOTS|t1655.00|t1670.30","2025-09-13","TSC","NEOFC","SHOTS","t1655.00","t1670.30","","False","False","False","False","proxy","","","",,
"028|2025-09-20|TSC|RVFC|CORNER|t1852.00|t1875.00","2025-09-20","TSC","RVFC","CORNER","t1852.00","t1875.00","","False","False","False","False","proxy","","","",,
"035|2025-09-20|TSC|Greenwood|CORNER|t2687.00|t2701.00","2025-09-20","TSC","Greenwood","CORNER","t2687.00","t2701.00","","False","False","False","False","proxy","","","",,
"041|2025-09-20|TSC|RVFC|CORNER|t2712.00|t2722.00","2025-09-20","TSC","RVFC","CORNER","t2712.00","t2722.00","","False","False","False","False","proxy","","","",,
"042|2025-09-20|TSC|RVFC|CORNER|t2765.00|t2783.00","2025-09-20","TSC","RVFC","CORNER","t2765.00","t2783.00","","False","False","False","False","proxy","","","",,
"021|2025-09-20|TSC|RVFC|CROSS|t1275.00|t1293.00","2025-09-20","TSC","RVFC","CROSS","t1275.00","t1293.00","","False","False","False","False","proxy","","","",,
"022|2025-09-20|TSC|Greenwood|GOAL|t1578.00|t1586.00","2025-09-20","TSC","Greenwood","GOAL","t1578.00","t1586.00","","False","False","False","False","proxy","","","",,
"025|2025-09-20|TSC|Greenwood|GOAL|t1885.00|t1895.00","2025-09-20","TSC","Greenwood","GOAL","t1885.00","t1895.00","","False","False","False","False","proxy","","","",,
"033|2025-09-20|TSC|Greenwood|GOAL|t2562.00|t2582.00","2025-09-20","TSC","Greenwood","GOAL","t2562.00","t2582.00","","False","False","False","False","proxy","","","",,
"043|2025-09-20|TSC|RVFC|GOAL|t3010.00|t3028.00","2025-09-20","TSC","RVFC","GOAL","t3010.00","t3028.00","","False","False","False","False","proxy","","","",,
"044|2025-09-20|TSC|RVFC|GOAL|t3051.00|t3066.00","2025-09-20","TSC","RVFC","GOAL","t3051.00","t3066.00","","False","False","False","False","proxy","","","",,
"011|2025-09-20|TSC|Greenwood|GOAL|t902.00|t913.00","2025-09-20","TSC","Greenwood","GOAL","t902.00","t913.00","","False","False","False","False","proxy","","","",,
"015|2025-09-20|TSC|Greenwood|SHOT|t1081.00|t1088.00","2025-09-20","TSC","Greenwood","SHOT","t1081.00","t1088.00","","False","False","False","False","proxy","","","",,
"020|2025-09-20|TSC|RVFC|SHOT|t1236.00|t1243.00","2025-09-20","TSC","RVFC","SHOT","t1236.00","t1243.00","","False","False","False","False","proxy","","","",,
"027|2025-09-20|TSC|RVFC|SHOT|t1827.00|t1834.00","2025-09-20","TSC","RVFC","SHOT","t1827.00","t1834.00","","False","False","False","False","proxy","","","",,
"006|2025-09-20|TSC|RVFC|SHOT|t517.00|t528.00","2025-09-20","TSC","RVFC","SHOT","t517.00","t528.00","","False","False","False","False","proxy","","","",,
"015|2025-09-20|TSC|RVFC|SHOT|t930.00|t937.00","2025-09-20","TSC","RVFC","SHOT","t930.00","t937.00","","False","False","False","False","proxy","","","",,
