"source","index","date","home","away","teams_raw","label","t_start_sec","t_end_sec","duration_sec","folder_name","folder_path","proxy_path","trf_path","stabilized_path","render_path"
"cinematic","22",,,,,"SHOT","3028.1","3059.7","25.433","022__SHOT__t3028.10-t3059.70.__DEBUG_FINAL_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_FINAL_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_FINAL_portrait_FINAL\proxy.mp4;C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_portrait_FINAL\proxy.mp4;C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_FINAL_portrait_FINAL\follow\transforms.trf;C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_portrait_FINAL\follow\transforms.trf;C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_FINAL_portrait_FINAL\follow\stabilized.mp4;C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_portrait_FINAL\follow\stabilized.mp4;C:\Users\scott\soccer-video\out\autoframe_work\cinematic\022__SHOT__t3028.10-t3059.70.__DEBUG_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\022__SHOT__t3028.10-t3059.70_portrait_FINAL.mp4"
"cinematic","1","2025-09-13","TSC","NEOFC","TSC_vs_NEOFC","SHOT","155.5","166.4","8.733","001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40.__DEBUG_FINAL_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40.__DEBUG_FINAL_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40.__DEBUG_FINAL_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40.__DEBUG_FINAL_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40.__DEBUG_FINAL_portrait_FINAL\follow\stabilized.mp4",
"cinematic","2","2025-09-13","TSC","NEOFC","TSC_vs_NEOFC","GOAL","180.8","191.2","8.3","002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL\follow\stabilized.mp4",
"cinematic","3","2025-09-13","TSC","NEOFC","TSC_vs_NEOFC","BUILD_UP","224.8","248.7","19.1","003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL\follow\stabilized.mp4",
"cinematic","4","2025-09-13","TSC","NEOFC","TSC_vs_NEOFC","GOAL","266.5","283.1","13.3","004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL\follow\stabilized.mp4",
"cinematic","5","2025-09-13","TSC","NEOFC","TSC_vs_NEOFC","CORNER","417.9","431.6","10.966","005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL\follow\stabilized.mp4",
"cinematic","6","2025-09-13","TSC","NEOFC","TSC_vs_NEOFC","DEFENSE","699.3","711.5","2.833","006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL\follow\stabilized.mp4",
"cinematic","1","2025-10-04","TSC","FC_Tulsa_Black","TSC_vs_FC_Tulsa_Black","DRIBBLING","387","412","27","001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL\follow\stabilized.mp4",
"cinematic","2","2025-10-04","TSC","FC_Tulsa_Black","TSC_vs_FC_Tulsa_Black","BUILD_UP","421","449","30","002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL\follow\stabilized.mp4",
"cinematic","3","2025-10-04","TSC","FC_Tulsa_Black","TSC_vs_FC_Tulsa_Black","BUILD_UP","458","487","31","003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL\follow\stabilized.mp4",
"cinematic","4","2025-10-04","TSC","FC_Tulsa_Black","TSC_vs_FC_Tulsa_Black","BUILD_UP","495","513","18","004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL\follow\stabilized.mp4",
"cinematic","5","2025-10-04","TSC","FC_Tulsa_Black","TSC_vs_FC_Tulsa_Black","SHOT","600","607","9","005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL\follow\stabilized.mp4",
"cinematic","6","2025-10-04","TSC","FC_Tulsa_Black","TSC_vs_FC_Tulsa_Black","BUILD_UP_GOAL","674","717","45","006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t674.00-t717.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t674.00-t717.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t674.00-t717.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t674.00-t717.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t674.00-t717.00_portrait_FINAL\follow\stabilized.mp4",
"cinematic","7","2025-10-04","TSC","FC_Tulsa_Black","TSC_vs_FC_Tulsa_Black","BUILD_UP_SHOT","767","785","18","007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t767.00-t785.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t767.00-t785.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t767.00-t785.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t767.00-t785.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t767.00-t785.00_portrait_FINAL\follow\stabilized.mp4",
"cinematic","8","2025-10-04","TSC","FC_Tulsa_Black","TSC_vs_FC_Tulsa_Black","BUILD_UP_SHOT","1025","1040","17","008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL\follow\stabilized.mp4",
"cinematic","9","2025-10-04","TSC","FC_Tulsa_Black","TSC_vs_FC_Tulsa_Black","PRESSURE_SHOT","1046","1057","13","009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL\follow\stabilized.mp4",
"cinematic","10","2025-10-04","TSC","FC_Tulsa_Black","TSC_vs_FC_Tulsa_Black","BUILD_UP_SHOT","1058","1080","24","010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL\follow\stabilized.mp4",
"cinematic","11","2025-10-04","TSC","FC_Tulsa_Black","TSC_vs_FC_Tulsa_Black","BUILD_UP_SHOT","1198","1222","26","011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL\follow\stabilized.mp4",
"cinematic","12","2025-10-04","TSC","FC_Tulsa_Black","TSC_vs_FC_Tulsa_Black","PRESSURE_GOAL","1239","1253","16","012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00_portrait_FINAL\follow\stabilized.mp4",
"cinematic","13","2025-10-04","TSC","FC_Tulsa_Black","TSC_vs_FC_Tulsa_Black","BUILD_UP_PLAY","1290","1306","16","013__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_PLAY__t1290.00-t1306.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\013__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_PLAY__t1290.00-t1306.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\013__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_PLAY__t1290.00-t1306.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\013__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_PLAY__t1290.00-t1306.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\013__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_PLAY__t1290.00-t1306.00_portrait_FINAL\follow\stabilized.mp4",
"cinematic","14","2025-10-04","TSC","FC_Tulsa_Black","TSC_vs_FC_Tulsa_Black","SHOT","1626","1637","13","014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t1626.00-t1637.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t1626.00-t1637.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t1626.00-t1637.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t1626.00-t1637.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t1626.00-t1637.00_portrait_FINAL\follow\stabilized.mp4",
"cinematic","15","2025-10-04","TSC","FC_Tulsa_Black","TSC_vs_FC_Tulsa_Black","BUILD_UP_SHOT","1705","1721","16","015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00\proxy.mp4;C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4;C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00\follow\transforms.trf;C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\follow\transforms.trf;C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00\follow\stabilized.mp4;C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\follow\stabilized.mp4;C:\Users\scott\soccer-video\out\autoframe_work\cinematic\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\follow\stabilized.mp4",
