"set","FullName","BaseName","Length","LastWriteTime"
"finals","C:\Users\scott\soccer-video\out\games\2025-10-04__TSC_vs_FC_Tulsa_Black\reels_portrait_1080x1920\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL.mp4","001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL","32931319","10/10/2025 1:50:26 PM"
"finals","C:\Users\scott\soccer-video\out\games\2025-10-04__TSC_vs_FC_Tulsa_Black\reels_portrait_1080x1920\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL.mp4","002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL","40369873","10/10/2025 1:55:24 PM"
"finals","C:\Users\scott\soccer-video\out\games\2025-10-04__TSC_vs_FC_Tulsa_Black\reels_portrait_1080x1920\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL.mp4","003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL","38023945","10/10/2025 2:00:37 PM"
"finals","C:\Users\scott\soccer-video\out\games\2025-10-04__TSC_vs_FC_Tulsa_Black\reels_portrait_1080x1920\004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL.mp4","004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL","24053208","10/10/2025 2:03:51 PM"
"finals","C:\Users\scott\soccer-video\out\games\2025-10-04__TSC_vs_FC_Tulsa_Black\reels_portrait_1080x1920\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL.mp4","005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL","10352503","10/10/2025 2:05:14 PM"
"finals","C:\Users\scott\soccer-video\out\games\2025-10-04__TSC_vs_FC_Tulsa_Black\reels_portrait_1080x1920\006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t674.00-t717.00_portrait_FINAL.mp4","006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t674.00-t717.00_portrait_FINAL","56618631","10/10/2025 2:13:29 PM"
"finals","C:\Users\scott\soccer-video\out\games\2025-10-04__TSC_vs_FC_Tulsa_Black\reels_portrait_1080x1920\007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t767.00-t785.00_portrait_FINAL.mp4","007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t767.00-t785.00_portrait_FINAL","26430696","10/10/2025 2:16:50 PM"
"finals","C:\Users\scott\soccer-video\out\games\2025-10-04__TSC_vs_FC_Tulsa_Black\reels_portrait_1080x1920\008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL.mp4","008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL","22778501","10/10/2025 2:19:30 PM"
"finals","C:\Users\scott\soccer-video\out\games\2025-10-04__TSC_vs_FC_Tulsa_Black\reels_portrait_1080x1920\009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL.mp4","009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL","13689911","10/10/2025 2:21:35 PM"
"finals","C:\Users\scott\soccer-video\out\games\2025-10-04__TSC_vs_FC_Tulsa_Black\reels_portrait_1080x1920\010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL.mp4","010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL","24877641","10/10/2025 2:25:34 PM"
"finals","C:\Users\scott\soccer-video\out\games\2025-10-04__TSC_vs_FC_Tulsa_Black\reels_portrait_1080x1920\011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL.mp4","011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL","34099399","10/10/2025 2:29:45 PM"
"finals","C:\Users\scott\soccer-video\out\games\2025-10-04__TSC_vs_FC_Tulsa_Black\reels_portrait_1080x1920\012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00_portrait_FINAL.mp4","012__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_GOAL__t1239.00-t1253.00_portrait_FINAL","17406153","10/10/2025 2:32:19 PM"
"finals","C:\Users\scott\soccer-video\out\games\2025-10-04__TSC_vs_FC_Tulsa_Black\reels_portrait_1080x1920\013__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_PLAY__t1290.00-t1306.00_portrait_FINAL.mp4","013__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_PLAY__t1290.00-t1306.00_portrait_FINAL","22960257","10/10/2025 2:34:54 PM"
"finals","C:\Users\scott\soccer-video\out\games\2025-10-04__TSC_vs_FC_Tulsa_Black\reels_portrait_1080x1920\014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t1626.00-t1637.00_portrait_FINAL.mp4","014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t1626.00-t1637.00_portrait_FINAL","15563302","10/10/2025 2:44:09 PM"
"finals","C:\Users\scott\soccer-video\out\games\2025-10-04__TSC_vs_FC_Tulsa_Black\reels_portrait_1080x1920\015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL.mp4","015__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL","20094372","10/10/2025 2:56:10 PM"
