t0,t1,label,score,src
37.385,51.385,PASSES,1.0,highlights_build+highlights_filtered
70.45,84.45,PASSES,1.0,highlights_build+highlights_filtered
162.09,178.65,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
190.41,209.91,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
218.785,232.785,PASSES,1.0,highlights_filtered
248.235,265.92,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
270.3,296.3,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
301.8,315.8,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
343.185,357.185,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
371.81,394.53999999999996,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered
409.95,423.95,PASSES,1.0,highlights_filtered
467.145,481.145,PASSES,1.0,highlights_build+highlights_filtered
501.59,512.59,PASSES,1.0,highlights_filtered
559.0350000000001,573.0350000000001,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
590.1,614.98,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
623.61,641.36,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
654.3,667.6800000000001,PASSES,1.0,highlights_build+highlights_filtered
679.74,690.74,PASSES,1.0,highlights_build+highlights_filtered
708.62,734.12,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
750.63,764.63,PASSES,1.0,highlights_build+highlights_filtered
782.575,804.89,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
811.27,822.27,PASSES,1.0,highlights_build+highlights_filtered
835.645,849.645,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
850.77,864.77,SHOT,0.0,events_core
880.8399999999999,894.8399999999999,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
902.16,916.16,SHOT,0.0,events_core
928.16,939.16,PASSES,1.0,highlights_filtered
943.7,957.1399999999999,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
964.605,991.04,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
992.55,1060.56,GOAL+GOAL_FORCED+GOAL_RESETS+PASSES+SHOT,1.0,events_core+forced_goals+goal_resets+highlights_build+highlights_filtered+highlights_shots
1071.31,1085.31,PASSES,1.0,highlights_build+highlights_filtered
1106.9,1120.48,PASSES,1.0,highlights_filtered
1134.635,1148.635,PASSES,1.0,highlights_build+highlights_filtered
1179.71,1193.71,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
1205.4,1228.59,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
1243.64,1254.64,PASSES,1.0,highlights_filtered
1260.4,1282.35,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
1287.35,1298.35,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
1301.35,1312.35,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
1327.855,1351.11,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
1367.24,1381.24,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
1398.3049999999998,1423.99,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
1432.065,1446.065,PASSES,1.0,highlights_build+highlights_filtered
1482.26,1496.26,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
1499.26,1527.2649999999999,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered
1539.39,1553.39,PASSES,1.0,highlights_build+highlights_filtered
1569.15,1580.15,PASSES,1.0,highlights_filtered
1622.7849999999999,1636.7849999999999,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
1659.6,1673.6,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
1674.54,1688.54,SHOT,0.0,events_core
1697.9850000000001,1713.14,GOAL_FORCED+PASSES,1.0,forced_goals+highlights_build+highlights_filtered+highlights_shots
1722.43,1739.64,GOAL_RESETS+PASSES,1.0,goal_resets+highlights_build+highlights_filtered+highlights_shots
1740.55,1751.55,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
1757.15,1782.875,GOAL_FORCED+PASSES,1.0,forced_goals+highlights_build+highlights_filtered+highlights_shots
1783.65,1800.69,GOAL+GOAL_RESETS,0.969,events_core+goal_resets
1802.63,1816.63,PASSES,1.0,highlights_build+highlights_filtered
1851.16,1870.66,GOAL+GOAL_FORCED+PASSES,1.0,events_core+forced_goals+highlights_build+highlights_filtered+highlights_shots
1877.66,1891.66,GOAL_RESETS,0.978,goal_resets
1927.5900000000001,1941.5900000000001,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
1957.18,1979.22,GOAL+GOAL_FORCED,1.0,events_core+forced_goals
1983.47,1997.68,GOAL_RESETS+PASSES,1.0,goal_resets+highlights_build+highlights_filtered+highlights_shots
1999.3,2011.14,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
2015.0,2026.6999999999998,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
2030.2,2041.9999999999998,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
2066.5499999999997,2080.5499999999997,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
2096.99,2110.99,SHOT,0.0,events_core
2116.12,2130.12,PASSES,1.0,highlights_build+highlights_filtered
2159.0,2189.38,GOAL+GOAL_FORCED+PASSES,1.0,events_core+forced_goals+highlights_build+highlights_filtered
2196.38,2217.76,GOAL_RESETS+PASSES+SHOT,1.0,events_core+goal_resets+highlights_build+highlights_filtered+highlights_shots
2223.01,2234.01,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
2241.455,2255.455,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
2267.58,2281.58,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
2301.84,2366.58,GOAL_FORCED+GOAL_RESETS+PASSES+SHOT,1.0,events_core+forced_goals+goal_resets+highlights_build+highlights_filtered+highlights_shots
2368.79,2404.75,GOAL+GOAL_FORCED+GOAL_RESETS+PASSES,1.0,events_core+forced_goals+goal_resets+highlights_build+highlights_filtered+highlights_shots
2411.75,2431.045,GOAL_RESETS+PASSES,1.0,goal_resets+highlights_build+highlights_filtered+highlights_shots
2431.67,2448.8,PASSES+SHOT,1.0,events_core+highlights_filtered
2477.185,2491.185,PASSES,1.0,highlights_build+highlights_filtered
2498.375,2512.375,PASSES,1.0,highlights_build+highlights_filtered
2517.56,2528.56,PASSES,1.0,highlights_filtered
2560.07,2571.07,PASSES,1.0,highlights_filtered
2583.015,2597.015,PASSES,1.0,highlights_build+highlights_filtered
2599.29,2618.79,GOAL+GOAL_FORCED,1.0,events_core+forced_goals
2620.63,2644.08,GOAL+GOAL_FORCED+PASSES,1.0,events_core+forced_goals+highlights_build+highlights_filtered
2647.13,2661.96,GOAL_RESETS+PASSES,1.0,goal_resets+highlights_build+highlights_filtered+highlights_shots
2669.22,2703.59,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
2708.2,2721.0,PASSES,1.0,highlights_filtered
2747.855,2768.98,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
2787.11,2801.11,PASSES,1.0,highlights_build+highlights_filtered
2807.0,2818.2200000000003,PASSES,1.0,highlights_filtered
2833.185,2847.185,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
2848.75,2862.75,SHOT,0.0,events_core
2884.63,2898.63,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
2901.0,2915.0,SHOT,0.0,events_core
2917.63,2940.63,PASSES+SHOT,1.0,events_core+highlights_build+highlights_filtered+highlights_shots
2980.27,2991.27,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
2994.9,3007.64,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
3011.0,3024.5600000000004,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
3043.59,3057.59,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
3073.37,3092.58,GOAL_FORCED+PASSES,1.0,forced_goals+highlights_build+highlights_filtered
3097.04,3121.876627604167,GOAL+GOAL_RESETS+PASSES,1.0,events_core+goal_resets+highlights_build+highlights_filtered+highlights_shots
