clip_id,game_key,date,teams,label_norm,t1,t2,duration,master_path,out_basename,path,all_sources
1,2025-09-13__TSC_vs_NEOFC,2025-09-13,TSC_vs_NEOFC,SHOT,155.5,166.4,10.900000000000006,C:/Users/scott/soccer-video/out/atomic_clips/2025-09-13__TSC_vs_NEOFC/MASTER.mp4,2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\115__2025-09-13__TSC_vs_NEOFC__SHOT__t155.5-t166.4.mp4,"[""C:\\Users\\scott\\soccer-video\\out\\atomic_clips\\2025-09-13__TSC_vs_NEOFC\\115__2025-09-13__TSC_vs_NEOFC__SHOT__t155.5-t166.4.mp4""]"
1,2025-09-20__TSC_vs_Greenwood,2025-09-20,TSC_vs_Greenwood,GOAL,20400.0,21180.0,780.0,,2025-09-20__TSC_vs_Greenwood__GOAL__t20400-t21180,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.mp4,"[""C:\\Users\\scott\\soccer-video\\out\\atomic_clips\\_quarantine\\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.mp4""]"
2,2025-09-20__TSC_vs_Greenwood,2025-09-20,TSC_vs_Greenwood,GOAL,54120.0,54780.0,660.0,,2025-09-20__TSC_vs_Greenwood__GOAL__t54120-t54780,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\011__2025-09-20__TSC_vs_Greenwood__GOAL__t54120.00-t54780.00.mp4,"[""C:\\Users\\scott\\soccer-video\\out\\atomic_clips\\_quarantine\\011__2025-09-20__TSC_vs_Greenwood__GOAL__t54120.00-t54780.00.mp4""]"
3,2025-09-20__TSC_vs_Greenwood,2025-09-20,TSC_vs_Greenwood,SHOT,64860.0,65280.0,420.0,,2025-09-20__TSC_vs_Greenwood__SHOT__t64860-t65280,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\015__2025-09-20__TSC_vs_Greenwood__SHOT__t64860.00-t65280.00.mp4,"[""C:\\Users\\scott\\soccer-video\\out\\atomic_clips\\_quarantine\\015__2025-09-20__TSC_vs_Greenwood__SHOT__t64860.00-t65280.00.mp4""]"
1,2025-09-20__TSC_vs_RVFC,2025-09-20,TSC_vs_RVFC,SHOT,7320.0,7860.0,540.0,,2025-09-20__TSC_vs_RVFC__SHOT__t7320-t7860,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.mp4,"[""C:\\Users\\scott\\soccer-video\\out\\atomic_clips\\_quarantine\\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.mp4""]"
2,2025-09-20__TSC_vs_RVFC,2025-09-20,TSC_vs_RVFC,SHOT,31020.0,31680.0,660.0,,2025-09-20__TSC_vs_RVFC__SHOT__t31020-t31680,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\006__2025-09-20__TSC_vs_RVFC__SHOT__t31020.00-t31680.00.mp4,"[""C:\\Users\\scott\\soccer-video\\out\\atomic_clips\\_quarantine\\006__2025-09-20__TSC_vs_RVFC__SHOT__t31020.00-t31680.00.mp4""]"
3,2025-09-20__TSC_vs_RVFC,2025-09-20,TSC_vs_RVFC,SHOT,55800.0,56220.0,420.0,,2025-09-20__TSC_vs_RVFC__SHOT__t55800-t56220,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\015__2025-09-20__TSC_vs_RVFC__SHOT__t55800.00-t56220.00.mp4,"[""C:\\Users\\scott\\soccer-video\\out\\atomic_clips\\_quarantine\\015__2025-09-20__TSC_vs_RVFC__SHOT__t55800.00-t56220.00.mp4""]"
4,2025-09-20__TSC_vs_RVFC,2025-09-20,TSC_vs_RVFC,SHOT,74160.0,74580.0,420.0,,2025-09-20__TSC_vs_RVFC__SHOT__t74160-t74580,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\020__2025-09-20__TSC_vs_RVFC__SHOT__t74160.00-t74580.00.mp4,"[""C:\\Users\\scott\\soccer-video\\out\\atomic_clips\\_quarantine\\020__2025-09-20__TSC_vs_RVFC__SHOT__t74160.00-t74580.00.mp4""]"
5,2025-09-20__TSC_vs_RVFC,2025-09-20,TSC_vs_RVFC,CROSS,76500.0,77580.0,1080.0,,2025-09-20__TSC_vs_RVFC__CROSS__t76500-t77580,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\021__2025-09-20__TSC_vs_RVFC__CROSS__t76500.00-t77580.00.mp4,"[""C:\\Users\\scott\\soccer-video\\out\\atomic_clips\\_quarantine\\021__2025-09-20__TSC_vs_RVFC__CROSS__t76500.00-t77580.00.mp4""]"
6,2025-09-20__TSC_vs_RVFC,2025-09-20,TSC_vs_RVFC,CORNER,3931200.0,3967200.0,36000.0,,2025-09-20__TSC_vs_RVFC__CORNER__t3931200-t3967200,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\041__2025-09-20__TSC_vs_RVFC__CORNER__t3931200.00-t3967200.00.mp4,"[""C:\\Users\\scott\\soccer-video\\out\\atomic_clips\\_quarantine\\041__2025-09-20__TSC_vs_RVFC__CORNER__t3931200.00-t3967200.00.mp4""]"
7,2025-09-20__TSC_vs_RVFC,2025-09-20,TSC_vs_RVFC,CORNER,3992400.0,4057200.0,64800.0,,2025-09-20__TSC_vs_RVFC__CORNER__t3992400-t4057200,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\042__2025-09-20__TSC_vs_RVFC__CORNER__t3992400.00-t4057200.00.mp4,"[""C:\\Users\\scott\\soccer-video\\out\\atomic_clips\\_quarantine\\042__2025-09-20__TSC_vs_RVFC__CORNER__t3992400.00-t4057200.00.mp4""]"
1,2025-10-04__TSC_vs_FC_Tulsa_Black,2025-10-04,TSC_vs_FC_Tulsa_Black,DRIBBLING,387.0,412.0,25.0,,2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412,C:\Users\scott\soccer-video\out\atomic_clips\2025-10-04__TSC_vs_FC_Tulsa_Black\116__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.mp4,"[""C:\\Users\\scott\\soccer-video\\out\\atomic_clips\\2025-10-04__TSC_vs_FC_Tulsa_Black\\116__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.mp4""]"
2,2025-10-04__TSC_vs_FC_Tulsa_Black,2025-10-04,TSC_vs_FC_Tulsa_Black,DRIBBLING,23220.0,24720.0,1500.0,,2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t23220-t24720,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t23220.00-t24720.00.mp4,"[""C:\\Users\\scott\\soccer-video\\out\\atomic_clips\\_quarantine\\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t23220.00-t24720.00.mp4""]"
3,2025-10-04__TSC_vs_FC_Tulsa_Black,2025-10-04,TSC_vs_FC_Tulsa_Black,SHOT,36000.0,36420.0,420.0,,2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t36000-t36420,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t36000.00-t36420.00.mp4,"[""C:\\Users\\scott\\soccer-video\\out\\atomic_clips\\_quarantine\\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t36000.00-t36420.00.mp4""]"
4,2025-10-04__TSC_vs_FC_Tulsa_Black,2025-10-04,TSC_vs_FC_Tulsa_Black,SHOT,2354400.0,2394000.0,39600.0,,2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t2354400-t2394000,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t2354400.00-t2394000.00.mp4,"[""C:\\Users\\scott\\soccer-video\\out\\atomic_clips\\_quarantine\\014__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t2354400.00-t2394000.00.mp4""]"
